,Actual,Forecast
2016-11-22,327.385,
2016-11-23,349.973,
2016-11-24,381.01199999999994,
2016-11-25,422.23,
2016-11-26,418.61699999999996,
2016-11-27,368.038,
2016-11-28,471.899,
2016-11-29,508.875,
2016-11-30,450.159,
2016-12-01,385.788,
2016-12-02,398.165,
2016-12-03,428.07300000000004,
2016-12-04,466.55800000000005,
2016-12-05,515.158,
2016-12-06,486.099,
2016-12-07,416.38699999999994,
2016-12-08,380.00699999999995,
2016-12-09,348.18300000000005,
2016-12-10,331.218,
2016-12-11,320.851,
2016-12-12,407.119,
2016-12-13,411.17199999999997,
2016-12-14,389.306,
2016-12-15,413.87300000000005,
2016-12-16,427.69599999999997,
2016-12-17,365.619,
2016-12-18,387.57800000000003,
2016-12-19,438.723,
2016-12-20,502.05800000000005,
2016-12-21,460.11800000000005,
2016-12-22,422.733,
2016-12-23,405.58,
2016-12-24,333.731,
2016-12-25,281.675,
2016-12-26,317.835,
2016-12-27,392.416,
2016-12-28,451.164,
2016-12-29,491.18800000000005,
2016-12-30,480.287,
2016-12-31,435.707,
2017-01-01,432.283,
2017-01-02,452.327,
2017-01-03,440.074,
2017-01-04,432.69199999999995,
2017-01-05,520.279,
2017-01-06,547.831,
2017-01-07,493.167,
2017-01-08,417.235,
2017-01-09,441.865,
2017-01-10,428.57599999999996,
2017-01-11,399.077,
2017-01-12,435.77,
2017-01-13,455.06,
2017-01-14,442.462,
2017-01-15,460.463,
2017-01-16,542.427,
2017-01-17,580.975,
2017-01-18,589.269,
2017-01-19,553.3919999999999,
2017-01-20,533.945,
2017-01-21,491.157,
2017-01-22,485.659,
2017-01-23,533.882,
2017-01-24,521.065,
2017-01-25,570.0419999999999,
2017-01-26,565.581,
2017-01-27,507.93300000000005,
2017-01-28,391.254,
2017-01-29,396.72,
2017-01-30,450.347,
2017-01-31,473.784,
2017-02-01,454.023,
2017-02-02,376.20599999999996,
2017-02-03,364.89599999999996,
2017-02-04,362.885,
2017-02-05,366.907,
2017-02-06,426.06300000000005,
2017-02-07,475.731,
2017-02-08,523.923,
2017-02-09,555.559,
2017-02-10,564.764,
2017-02-11,491.62800000000004,
2017-02-12,454.714,
2017-02-13,462.977,
2017-02-14,439.195,
2017-02-15,392.856,
2017-02-16,386.88699999999994,
2017-02-17,408.973,
2017-02-18,365.022,
2017-02-19,345.858,
2017-02-20,356.69599999999997,
2017-02-21,324.652,
2017-02-22,344.224,
2017-02-23,379.881,
2017-02-24,393.139,
2017-02-25,364.89599999999996,
2017-02-26,321.134,
2017-02-27,355.18800000000005,
2017-02-28,405.517,
2017-03-01,377.023,
2017-03-02,396.689,
2017-03-03,378.436,
2017-03-04,314.285,
2017-03-05,319.626,
2017-03-06,383.777,
2017-03-07,403.19199999999995,
2017-03-08,413.05699999999996,
2017-03-09,369.38800000000003,
2017-03-10,340.83099999999996,
2017-03-11,296.095,
2017-03-12,277.874,
2017-03-13,345.45,
2017-03-14,335.11400000000003,
2017-03-15,313.28,
2017-03-16,282.241,
2017-03-17,302.78700000000003,
2017-03-18,288.681,
2017-03-19,264.899,
2017-03-20,320.16,
2017-03-21,328.265,
2017-03-22,339.355,
2017-03-23,318.432,
2017-03-24,304.546,
2017-03-25,248.40599999999998,
2017-03-26,266.376,
2017-03-27,288.30400000000003,
2017-03-28,264.27099999999996,
2017-03-29,277.56,
2017-03-30,225.78599999999997,
2017-03-31,220.60299999999998,
2017-04-01,230.813,
2017-04-02,210.738,
2017-04-03,273.507,
2017-04-04,268.952,
2017-04-05,288.964,
2017-04-06,314.316,
2017-04-07,291.414,
2017-04-08,247.495,
2017-04-09,201.69,
2017-04-10,269.14,
2017-04-11,273.036,
2017-04-12,298.703,
2017-04-13,291.885,
2017-04-14,311.143,
2017-04-15,261.883,
2017-04-16,265.967,
2017-04-17,275.54900000000004,
2017-04-18,330.496,
2017-04-19,359.461,
2017-04-20,308.536,
2017-04-21,278.062,
2017-04-22,262.26,
2017-04-23,262.009,
2017-04-24,295.718,
2017-04-25,326.223,
2017-04-26,333.574,
2017-04-27,308.096,
2017-04-28,311.834,
2017-04-29,261.757,
2017-04-30,205.80599999999998,
2017-05-01,275.518,
2017-05-02,286.41900000000004,
2017-05-03,277.717,
2017-05-04,267.004,
2017-05-05,302.473,
2017-05-06,200.65400000000002,
2017-05-07,206.37099999999998,
2017-05-08,270.20799999999997,
2017-05-09,280.921,
2017-05-10,268.26099999999997,
2017-05-11,222.92700000000002,
2017-05-12,211.398,
2017-05-13,184.63099999999997,
2017-05-14,170.18,
2017-05-15,197.606,
2017-05-16,194.15,
2017-05-17,177.37400000000002,
2017-05-18,187.993,
2017-05-19,204.204,
2017-05-20,183.62599999999998,
2017-05-21,168.295,
2017-05-22,201.37599999999998,
2017-05-23,198.392,
2017-05-24,198.957,
2017-05-25,153.561,
2017-05-26,166.222,
2017-05-27,146.775,
2017-05-28,146.36700000000002,
2017-05-29,194.465,
2017-05-30,193.773,
2017-05-31,196.97799999999998,
2017-06-01,195.847,
2017-06-02,185.13400000000001,
2017-06-03,145.99,
2017-06-04,135.34,
2017-06-05,139.80100000000002,
2017-06-06,164.99599999999998,
2017-06-07,185.574,
2017-06-08,172.03400000000002,
2017-06-09,188.18099999999998,
2017-06-10,150.105,
2017-06-11,142.84799999999998,
2017-06-12,186.454,
2017-06-13,210.33,
2017-06-14,198.988,
2017-06-15,181.364,
2017-06-16,175.646,
2017-06-17,141.811,
2017-06-18,152.58700000000002,
2017-06-19,196.821,
2017-06-20,197.292,
2017-06-21,197.763,
2017-06-22,188.84099999999998,
2017-06-23,184.69400000000002,
2017-06-24,161.446,
2017-06-25,164.83900000000003,
2017-06-26,212.52900000000002,
2017-06-27,211.963,
2017-06-28,212.65400000000002,
2017-06-29,203.795,
2017-06-30,194.55900000000003,
2017-07-01,166.69299999999998,
2017-07-02,166.75599999999997,
2017-07-03,191.763,
2017-07-04,219.84900000000002,
2017-07-05,217.68099999999998,
2017-07-06,214.31900000000002,
2017-07-07,205.9,
2017-07-08,174.735,
2017-07-09,168.578,
2017-07-10,215.608,
2017-07-11,219.62900000000002,
2017-07-12,216.676,
2017-07-13,220.19400000000002,
2017-07-14,210.392,
2017-07-15,163.174,
2017-07-16,161.415,
2017-07-17,209.513,
2017-07-18,199.93099999999998,
2017-07-19,190.28599999999997,
2017-07-20,207.21900000000002,
2017-07-21,191.26,
2017-07-22,155.32,
2017-07-23,158.24200000000002,
2017-07-24,209.638,
2017-07-25,202.57,
2017-07-26,186.893,
2017-07-27,187.64700000000002,
2017-07-28,159.593,
2017-07-29,149.194,
2017-07-30,136.911,
2017-07-31,165.845,
2017-08-01,181.96099999999998,
2017-08-02,179.102,
2017-08-03,155.72899999999998,
2017-08-04,149.069,
2017-08-05,142.817,
2017-08-06,142.534,
2017-08-07,168.358,
2017-08-08,180.799,
2017-08-09,176.93400000000003,
2017-08-10,206.81099999999998,
2017-08-11,196.821,
2017-08-12,155.634,
2017-08-13,148.377,
2017-08-14,170.62,
2017-08-15,182.18099999999998,
2017-08-16,182.118,
2017-08-17,175.898,
2017-08-18,179.636,
2017-08-19,157.048,
2017-08-20,157.519,
2017-08-21,189.56400000000002,
2017-08-22,192.328,
2017-08-23,187.74200000000002,
2017-08-24,192.862,
2017-08-25,191.32299999999998,
2017-08-26,164.965,
2017-08-27,164.368,
2017-08-28,206.87400000000002,
2017-08-29,201.722,
2017-08-30,203.764,
2017-08-31,214.63400000000001,
2017-09-01,213.565,
2017-09-02,166.69299999999998,
2017-09-03,167.47799999999998,
2017-09-04,210.864,
2017-09-05,210.235,
2017-09-06,211.775,
2017-09-07,211.209,
2017-09-08,214.854,
2017-09-09,183.563,
2017-09-10,175.018,
2017-09-11,202.13,
2017-09-12,211.021,
2017-09-13,221.419,
2017-09-14,260.595,
2017-09-15,249.725,
2017-09-16,224.592,
2017-09-17,209.984,
2017-09-18,271.057,
2017-09-19,270.397,
2017-09-20,257.83099999999996,
2017-09-21,248.5,
2017-09-22,259.401,
2017-09-23,217.178,
2017-09-24,193.83599999999998,
2017-09-25,253.24400000000003,
2017-09-26,261.663,
2017-09-27,257.108,
2017-09-28,256.825,
2017-09-29,234.583,
2017-09-30,220.477,
2017-10-01,196.601,
2017-10-02,228.708,
2017-10-03,247.84,
2017-10-04,260.061,
2017-10-05,263.23400000000004,
2017-10-06,281.235,
2017-10-07,266.25,
2017-10-08,260.815,
2017-10-09,301.499,
2017-10-10,275.172,
2017-10-11,264.27099999999996,
2017-10-12,268.22900000000004,
2017-10-13,252.615,
2017-10-14,210.11,
2017-10-15,186.925,
2017-10-16,231.787,
2017-10-17,263.23400000000004,
2017-10-18,268.763,
2017-10-19,248.123,
2017-10-20,251.61,
2017-10-21,218.592,
2017-10-22,255.537,
2017-10-23,292.73400000000004,
2017-10-24,262.95099999999996,
2017-10-25,264.993,
2017-10-26,264.742,
2017-10-27,261.255,
2017-10-28,247.4,
2017-10-29,256.134,
2017-10-30,327.323,
2017-10-31,323.992,
2017-11-01,309.258,
2017-11-02,321.54200000000003,
2017-11-03,324.369,
2017-11-04,282.492,
2017-11-05,301.907,
2017-11-06,373.158,
2017-11-07,400.836,
2017-11-08,389.18,
2017-11-09,353.461,
2017-11-10,334.20300000000003,
2017-11-11,354.686,
2017-11-12,353.461,
2017-11-13,391.44199999999995,
2017-11-14,385.379,
2017-11-15,368.13199999999995,
2017-11-16,359.65,
2017-11-17,363.671,
2017-11-18,331.501,
2017-11-19,322.861,
2017-11-20,396.343,
2017-11-21,337.281,
2017-11-22,309.07,
2017-11-23,326.16,
2017-11-24,377.80800000000005,
2017-11-25,400.42699999999996,
2017-11-26,379.944,
2017-11-27,403.31800000000004,
2017-11-28,428.57599999999996,
2017-11-29,468.94599999999997,
2017-11-30,480.412,
2017-12-01,491.973,
2017-12-02,483.711,
2017-12-03,437.121,
2017-12-04,415.853,
2017-12-05,409.287,
2017-12-06,388.08099999999996,
2017-12-07,436.901,
2017-12-08,478.87300000000005,
2017-12-09,457.57300000000004,
2017-12-10,486.884,
2017-12-11,544.815,
2017-12-12,462.694,
2017-12-13,490.591,
2017-12-14,490.528,
2017-12-15,483.02,
2017-12-16,445.289,
2017-12-17,389.62,
2017-12-18,462.254,
2017-12-19,458.48400000000004,
2017-12-20,418.49199999999996,
2017-12-21,401.087,
2017-12-22,387.767,
2017-12-23,330.81,
2017-12-24,317.992,
2017-12-25,333.35400000000004,
2017-12-26,359.744,
2017-12-27,422.67,
2017-12-28,432.786,
2017-12-29,448.839,
2017-12-30,335.019,
2017-12-31,303.60400000000004,
2018-01-01,312.692,
2018-01-02,333.92400000000004,
2018-01-03,335.63,
2018-01-04,318.964,
2018-01-05,320.164,
2018-01-06,339.80699999999996,
2018-01-07,402.64300000000003,
2018-01-08,431.533,
2018-01-09,392.162,
2018-01-10,337.173,
2018-01-11,332.714,
2018-01-12,338.944,
2018-01-13,333.584,
2018-01-14,365.55800000000005,
2018-01-15,378.966,
2018-01-16,377.80199999999996,
2018-01-17,393.49199999999996,
2018-01-18,398.04900000000004,
2018-01-19,388.305,
2018-01-20,383.265,
2018-01-21,370.014,
2018-01-22,360.005,
2018-01-23,314.41700000000003,
2018-01-24,283.406,
2018-01-25,311.628,
2018-01-26,343.875,
2018-01-27,325.04200000000003,
2018-01-28,294.434,
2018-01-29,320.655,
2018-01-30,348.288,
2018-01-31,362.355,
2018-02-01,392.36199999999997,
2018-02-02,366.649,
2018-02-03,363.519,
2018-02-04,402.55,
2018-02-05,442.749,
2018-02-06,465.51599999999996,
2018-02-07,461.119,
2018-02-08,434.425,
2018-02-09,410.5,
2018-02-10,282.869,
2018-02-11,377.425,
2018-02-12,392.462,
2018-02-13,395.986,
2018-02-14,384.168,
2018-02-15,386.588,
2018-02-16,331.62,
2018-02-17,351.532,
2018-02-18,359.809,
2018-02-19,420.715,
2018-02-20,411.94,
2018-02-21,416.13,
2018-02-22,419.93199999999996,
2018-02-23,420.716,
2018-02-24,445.009,
2018-02-25,472.71,
2018-02-26,495.765,
2018-02-27,480.68699999999995,
2018-02-28,573.178,
